Actinolite,https://en.wikipedia.org/wiki/Actinolite,Dickinson,Gogebic,Gratiot,Marquette,,,,,,,,,,,,,,,,,,,,,
Aegirinaugite,https://en.wikipedia.org/wiki/Aegirinaugite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Aegirine,https://en.wikipedia.org/wiki/Aegirine,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Albite,https://en.wikipedia.org/wiki/Albite,Dickinson,Gratiot,Houghton,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,
Algodonite,https://en.wikipedia.org/wiki/Algodonite,Baraga,Houghton,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,
Allanite,https://en.wikipedia.org/wiki/Allanite,Gogebic,Iron,Marquette,,,,,,,,,,,,,,,,,,,,,,
Almandite,https://en.wikipedia.org/wiki/Almandite,Dickinson,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,,,
Alunite,https://en.wikipedia.org/wiki/Alunite,Iron,,,,,,,,,,,,,,,,,,,,,,,,
Analcite,https://en.wikipedia.org/wiki/Analcite,Houghton,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatase,https://en.wikipedia.org/wiki/Anatase,Gratiot,Houghton,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,,,
Andalusite,https://en.wikipedia.org/wiki/Andalusite,Iron,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Andesine,https://en.wikipedia.org/wiki/Andesine,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Andradite,https://en.wikipedia.org/wiki/Andradite,Dickinson,,,,,,,,,,,,,,,,,,,,,,,,
Anglesite,https://en.wikipedia.org/wiki/Anglesite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
